P6_LU,LU
Cropland,Cropland Barren
Cropland,Cropland Herbaceous
Cropland,Orchard/Vineyard Barren
Cropland,Orchard/Vineyard Herbaceous
Cropland,Orchard/Vineyard Scrub/Shrub
Forest,Forest
Forest,Forest Forest
Forest,Tree Canopy in Agriculture
Forest,Tree Canopy
Impervious Non-Roads,Other Impervious
Impervious Non-Roads,Solar Field Impervious
Impervious Non-Roads,Buildings
Impervious Roads,Roads
Mixed Open,Bare Developed
Mixed Open,Bare Shore
Mixed Open,Extractive Barren
Mixed Open,Extractive Other Impervious
Mixed Open,Harvested Forest Barren
Mixed Open,Harvested Forest Herbaceous
Mixed Open,Natural Succession Barren
Mixed Open,Natural Succession Herbaceous
Mixed Open,Natural Succession Scrub/Shrub
Mixed Open,Solar Field Barren
Mixed Open,Solar Field Herbaceous
Mixed Open,Solar Field Scrub/Shrub
Mixed Open,Suspended Succession Barren
Mixed Open,Suspended Succession Herbaceous
Mixed Open,Suspended Succession Scrub/Shrub
Pasture,Idle/Fallow Scrub/Shrub
Pasture,Pasture/Hay Barren
Pasture,Pasture/Hay Barren (Former Fallow)
Pasture,Pasture/Hay Herbaceous
Pasture,Pasture/Hay Herbaceous (Former Fallow)
Pasture,Pasture/Hay Scrub/Shrub
Tree Canopy Over Impervious,Tree Canopy over Other Impervious
Tree Canopy Over Impervious,Tree Canopy over Roads
Tree Canopy Over Impervious,Tree Canopy over Structures
Tree Canopy over Turf Grass,Tree Canopy over Turf
Turf Grass,Turf Herbaceous
Water,Culverted/Buried Channel
Water,Estuary (tidal)
Water,Lake/Pond
Water,Open Channel
Water,Tree Canopy over Channel
Water,Water
"Wetlands, Floodplain",Floodplain Barren
"Wetlands, Floodplain",Floodplain Herbaceous
"Wetlands, Floodplain",Floodplain Scrub/Shrub
"Wetlands, Floodplain",Floodplain Forest
"Wetlands, Floodplain",Floodplain Tree Canopy
"Wetlands, Floodplain",Headwater Barren
"Wetlands, Floodplain",Headwater Forest
"Wetlands, Floodplain",Headwater Herbaceous
"Wetlands, Floodplain",Headwater Scrub/Shrub
"Wetlands, Floodplain",Headwater Tree Canopy
"Wetlands, Floodplain",Riverine (Non-Tidal) Wetlands Barren
"Wetlands, Floodplain",Riverine (Non-Tidal) Wetlands Forest
"Wetlands, Floodplain",Riverine (Non-Tidal) Wetlands Herbaceous
"Wetlands, Floodplain",Riverine (Non-Tidal) Wetlands Scrub/Shrub
"Wetlands, Floodplain",Riverine (Non-Tidal) Wetlands Tree Canopy
"Wetlands, Other",Wetland
"Wetlands, Other",Emergent Wetlands
"Wetlands, Other",Terrene/Isolated Wetlands Barren
"Wetlands, Other",Terrene/Isolated Wetlands Forest
"Wetlands, Other",Terrene/Isolated Wetlands Herbaceous
"Wetlands, Other",Terrene/Isolated Wetlands Scrub/Shrub
"Wetlands, Other",Terrene/Isolated Wetlands Tree Canopy
"Wetlands, Tidal",Tidal Wetlands Barren
"Wetlands, Tidal",Tidal Wetlands Forest
"Wetlands, Tidal",Tidal Wetlands Herbaceous
"Wetlands, Tidal",Tidal Wetlands Scrub/Shrub
"Wetlands, Tidal",Tidal Wetlands Tree Canopy
